SCENARIO ID,DATE,EVENT TYPE,PROCESS AREA,LOSS AMOUNT(USD),FREQUENCY,SEVERITY,OPVAR(%),ML,GDP (%),VIX,TARGET
ALE-0979,9/7/2022,Cyber-Fraud,ATM Network,18.2,2,1.87,3.02,2.1,3.1,29,0
ALE-0046,10/11/2022,Tech Failure,ATM Network,158.24,2,2.46,3.43,2.55,2.5,18,1
OLE-0368,23/10/2023,Data Breach,Retail Banking,5,2,0.71,1.33,1,3.9,21,1
OLE-0832,11/9/2022,Cyber-Fraud,Retail Banking,21.04,3,0.79,0.79,1,3.3,22,2
OLE-0248,29/6/2022,Tech Failure,Payments,103.86,2,1.27,0.7,1,3,19,0
ALE-1054,30/3/2022,Cyber-Fraud,Online Services,197.22,4,2.81,3.43,2.72,4,24,1
ALE-0423,28/4/2022,Tech Failure,ATM Network,61.13,1,2.08,3.38,2.97,3.9,15,0
OLE-0136,26/4/2022,System Failure,Payments,43.44,3,0.57,1.23,1,3.4,24,1
ALE-0778,8/5/2022,Phishing,Online Services,146.89,5,2.74,2.55,1.9,2.9,19,0
OLE-0241,16/3/2023,System Failure,ATM Network,74.36,1,1.32,0.92,1,3,18,0
OLE-0580,9/11/2022,Tech Failure,ATM Network,81.82,5,0.65,0.7,1,2.9,14,1
ALE-0893,13/2/2022,Cyber-Fraud,Retail Banking,136.98,2,1.15,2.89,2.62,3.2,25,0
ALE-0859,23/10/2022,Cyber-Fraud,E-Banking,91.93,4,2.4,3.37,2.75,3.6,15,2
OLE-0850,11/3/2022,System Failure,Retail Banking,20.54,3,1.28,0.73,1,2.8,22,1
OLE-0290,3/7/2022,Data Breach,Retail Banking,5,4,1,0.62,1,2.8,24,1
OLE-0307,6/1/2022,Tech Failure,Payments,15.53,2,1.39,1.26,1,3.4,23,1
ALE-0795,6/10/2022,Cyber-Fraud,Payments,113.67,3,2.45,2.11,2.23,3.3,18,1
OLE-0842,30/6/2023,Data Breach,Payments,40.89,1,1.1,1.31,1,3.3,14,1
ALE-0082,15/12/2022,System Failure,Retail Banking,186.46,1,1.71,1.95,1.59,3.9,18,0
ALE-0108,30/12/2022,System Failure,Retail Banking,129.53,3,2.74,2.54,2.86,3.2,27,1
ALE-0245,14/11/2022,Phishing,ATM Network,68.33,3,1.12,1.22,0.89,2.8,29,0
OLE-0343,19/3/2022,System Failure,ATM Network,66.26,3,1.49,1.16,1,2.8,20,2
OLE-0308,26/6/2023,Tech Failure,Payments,5,5,0.95,1.26,1,3,24,1
OLE-0671,3/11/2022,System Failure,ATM Network,76.06,3,0.85,0.76,1,3.8,14,0
ALE-0446,4/2/2022,Tech Failure,Payments,220.49,2,1.19,2.3,2.01,3.2,26,0
OLE-0675,30/4/2023,Tech Failure,Retail Banking,100.59,5,0.42,0.67,1,3.9,18,1
ALE-0634,15/7/2022,System Failure,Online Services,123.94,2,1.55,1.97,2.38,3.4,20,2
ALE-1094,13/5/2022,Phishing,Payments,114.82,2,2.3,3.25,3.18,2.8,25,2
OLE-0410,22/8/2023,Tech Failure,ATM Network,13.34,4,0.49,1.07,1,3.7,24,2
OLE-0508,30/8/2023,System Failure,Retail Banking,54.25,3,0.67,0.56,1,2.8,16,1
OLE-0283,20/7/2023,System Failure,E-Banking,17.45,2,0.94,0.86,1,3,17,0
ALE-1216,2/10/2022,Phishing,Retail Banking,340.16,3,2.49,1.36,0.94,2.6,29,0
OLE-0101,18/5/2022,System Failure,ATM Network,60.65,2,0.63,1.26,1,3.2,19,0
ALE-1253,27/1/2022,Data Breach,Payments,16.39,5,2.44,2.42,1.97,3.1,16,1
ALE-0210,20/3/2022,Tech Failure,Online Services,10,5,0.8,3.2,3.9,3.6,19,0
ALE-1079,18/10/2022,Cyber-Fraud,E-Banking,115.69,5,0.94,3.24,2.3,3,15,0
ALE-0648,19/3/2022,Tech Failure,Payments,153.34,1,1.57,1.58,1.92,3.1,20,1
ALE-0066,27/2/2022,Data Breach,ATM Network,126.7,4,2.43,3.07,3.45,2.5,25,0
ALE-0587,23/3/2022,System Failure,E-Banking,303.1,5,2.12,3.45,2.76,2.5,17,2
OLE-0369,27/10/2023,Data Breach,Retail Banking,17.14,5,0.84,1,1,2.9,19,1
ALE-0529,8/5/2022,Phishing,E-Banking,125.87,2,2.13,2.48,1.97,2.7,28,1
OLE-0169,27/3/2022,Cyber-Fraud,Payments,5,4,1,1.5,1,2.7,15,2
ALE-0968,10/11/2022,System Failure,Online Services,161.55,1,2.44,2.64,2.42,3.9,29,0
ALE-1288,16/3/2022,Tech Failure,E-Banking,205.75,4,1.17,3.16,3.09,3.4,25,1
ALE-0822,5/11/2022,Data Breach,ATM Network,177.67,3,2.74,2.05,2.4,3.9,29,0
ALE-0813,29/7/2022,Data Breach,ATM Network,183.34,5,1.51,2.31,1.9,2.9,16,2
ALE-0406,4/2/2022,Cyber-Fraud,Retail Banking,90.49,1,2.22,1.97,2.39,2.9,25,1
ALE-0792,12/7/2022,Cyber-Fraud,Retail Banking,120.55,2,1.34,2.12,1.63,3.8,27,2
OLE-0591,3/1/2023,Data Breach,ATM Network,45.23,5,0.7,1.2,1,3.6,16,1
ALE-0546,28/7/2022,Data Breach,E-Banking,182.33,3,1.79,2.45,2.82,3.9,17,1
OLE-0536,23/12/2022,Cyber-Fraud,Retail Banking,50.05,5,0.77,1.04,1,2.7,16,1
ALE-0480,4/5/2022,Data Breach,ATM Network,89.19,2,1.53,2.12,1.93,3.4,22,0
OLE-0495,7/10/2023,Tech Failure,ATM Network,90.11,1,0.65,0.77,1,3,22,0
OLE-0112,1/3/2022,System Failure,E-Banking,81.98,4,1.34,0.74,1,3.2,23,1
OLE-0304,22/4/2022,Cyber-Fraud,Retail Banking,93.71,3,1.3,1.34,1,3.1,15,0
OLE-0097,26/4/2022,Tech Failure,Retail Banking,37.66,5,1.31,0.69,1,3.7,23,0
ALE-0168,16/1/2022,Phishing,ATM Network,225.99,1,1.33,1.59,1.36,2.9,19,0
ALE-0086,4/1/2022,System Failure,E-Banking,216.44,3,1.8,2.33,2.82,2.8,22,1
OLE-0841,9/2/2023,Data Breach,E-Banking,90.9,1,0.81,0.83,1,3,18,1
OLE-0276,18/11/2023,System Failure,ATM Network,5,3,0.95,0.77,1,3.1,19,0
ALE-0271,4/8/2022,Cyber-Fraud,Retail Banking,199.04,5,1.29,1.43,0.99,3.3,25,2
OLE-0212,8/9/2022,Data Breach,Payments,73.67,2,1.02,0.97,1,2.6,23,1
OLE-0300,27/12/2022,System Failure,Payments,49.69,4,0.52,1.24,1,3.8,17,0
ALE-0959,6/3/2022,Cyber-Fraud,ATM Network,155.99,4,1.7,1.91,1.89,3,22,2
ALE-0177,25/2/2022,Tech Failure,Payments,119.85,3,0.95,3.49,3.48,2.7,21,0
OLE-0809,1/3/2023,Tech Failure,ATM Network,107,4,0.55,1.02,1,3.2,23,2
OLE-0234,4/7/2023,Cyber-Fraud,ATM Network,34.19,2,1.37,0.92,1,3.7,23,2
ALE-0709,3/4/2022,Cyber-Fraud,ATM Network,153.52,5,1.26,1.49,1.6,2.5,25,2
ALE-0064,26/10/2022,Tech Failure,Retail Banking,100.73,5,1.9,2.99,2.15,3.4,16,2
OLE-0451,9/11/2022,Data Breach,Retail Banking,97.5,4,0.78,0.96,1,3.1,20,1
OLE-0441,1/11/2023,Tech Failure,ATM Network,5,3,0.63,1.27,1,3.5,20,2
OLE-0068,25/6/2022,Cyber-Fraud,Retail Banking,101.66,3,0.39,0.51,1,3.9,18,1
ALE-1169,13/12/2022,Phishing,Retail Banking,198.79,3,2.62,2.85,3.46,3.1,19,0
ALE-0119,29/8/2022,Phishing,ATM Network,172.65,5,2.69,1.89,1.31,2.8,24,2
OLE-0351,22/10/2023,Data Breach,E-Banking,65.59,5,0.51,1.17,1,2.8,18,1
ALE-0603,9/12/2022,Cyber-Fraud,Online Services,138.54,4,2.36,2.55,2.49,3.3,25,1
ALE-0793,29/11/2022,System Failure,Retail Banking,10,5,2.7,1.57,1.38,2.8,16,2
OLE-0317,9/1/2022,System Failure,Retail Banking,35.93,5,0.38,0.59,1,4,24,0
ALE-0567,9/10/2022,Data Breach,Retail Banking,140.93,1,2.63,1.24,1.25,2.5,27,1
ALE-0322,10/8/2022,Data Breach,Payments,109.23,4,1.28,3.06,2.3,3,25,0
ALE-0972,3/8/2022,Tech Failure,ATM Network,94.44,3,0.99,1.47,1.13,2.6,28,0
OLE-0483,9/12/2023,Data Breach,ATM Network,82.23,3,0.8,0.86,1,3.4,20,2
OLE-0030,10/9/2023,Data Breach,ATM Network,63.21,2,0.43,0.5,1,3.5,18,1
ALE-1157,6/7/2022,Cyber-Fraud,Retail Banking,142.51,3,2.98,2.3,2.4,3.1,23,0
ALE-1014,26/2/2022,Tech Failure,Retail Banking,133.17,2,1.86,3.1,2.26,3.9,18,1
ALE-0714,3/4/2022,Tech Failure,Online Services,94.28,2,2.7,1.99,1.92,3.8,24,2
ALE-0690,19/1/2022,Cyber-Fraud,ATM Network,176.02,5,2.31,1.93,2.09,2.7,27,1
ALE-1223,10/3/2022,Cyber-Fraud,Payments,131.02,3,2.82,2.68,3.26,4,16,1
OLE-0788,29/10/2023,Data Breach,ATM Network,54.41,2,0.88,1.2,1,3.8,24,2
ALE-0488,20/9/2022,Tech Failure,Online Services,97.53,3,2.64,3.28,2.39,3.2,27,1
ALE-1280,3/1/2022,Phishing,Online Services,107.65,3,1.07,2.08,1.5,3,27,0
ALE-1282,24/8/2022,Data Breach,E-Banking,172,2,1.3,3.44,2.3,2.6,27,1
ALE-1268,21/10/2022,Phishing,Payments,212.15,4,2.05,1.47,1.23,2.8,19,2
OLE-0695,23/3/2022,Cyber-Fraud,E-Banking,93.26,3,0.31,0.52,1,3.4,16,1
ALE-0072,22/10/2022,Tech Failure,Payments,198.45,5,2.69,1.21,1.47,3.9,24,0
OLE-0189,14/9/2023,Data Breach,Retail Banking,67.94,2,1,1.12,1,2.6,15,1
OLE-0135,22/5/2022,System Failure,E-Banking,46.4,1,0.31,0.97,1,3,24,0
OLE-0129,1/10/2023,Cyber-Fraud,Payments,93.74,4,1.35,1.27,1,3.7,15,2
OLE-0756,25/7/2022,Data Breach,Retail Banking,5,3,0.53,0.96,1,3.9,19,1
ALE-1132,10/8/2022,Phishing,Payments,169.47,5,2.77,1.33,1.09,3.4,20,2
OLE-0325,27/1/2022,Data Breach,E-Banking,71.06,3,1.44,1.33,1,3,19,1
OLE-0544,25/10/2022,Data Breach,Payments,28.71,3,1.26,0.68,1,2.7,20,0
ALE-0153,11/8/2022,Phishing,Payments,170.44,2,2.65,2.23,1.79,2.8,20,2
ALE-0441,24/1/2022,Cyber-Fraud,Payments,81.49,1,1.03,2.61,3.01,3.6,25,1
OLE-0185,21/5/2022,Tech Failure,Payments,50.91,2,0.39,1,1,3.7,19,1
OLE-0052,7/12/2022,Data Breach,E-Banking,74.53,5,0.33,0.64,1,3.9,17,1
OLE-0197,22/5/2022,Cyber-Fraud,E-Banking,65.67,5,0.52,0.78,1,2.7,17,2
ALE-1145,17/12/2022,Data Breach,Retail Banking,107.48,2,1.01,1.75,1.61,3.8,28,0
ALE-0753,13/11/2022,Phishing,Retail Banking,122.73,2,1.8,1.67,1.26,3.2,18,0
ALE-1037,19/12/2022,Data Breach,Retail Banking,299.53,2,1.64,2.97,2.29,2.6,26,0
ALE-0944,11/2/2022,Cyber-Fraud,E-Banking,130.06,4,1.79,3.18,3.57,3,16,1
OLE-0240,29/10/2023,Cyber-Fraud,ATM Network,35.38,5,0.66,0.73,1,2.5,17,1
OLE-0388,3/5/2023,System Failure,Retail Banking,34.58,1,1.16,0.57,1,3.1,20,2
ALE-1002,15/11/2022,Data Breach,ATM Network,232.16,2,2.3,3.26,3.16,3.9,23,1
ALE-0630,28/4/2022,System Failure,E-Banking,247.59,4,1.66,2.48,2.06,2.7,17,1
ALE-0414,1/1/2022,Phishing,Online Services,187.5,3,1,2.22,1.48,3.8,29,0
OLE-0255,10/1/2023,Cyber-Fraud,Payments,5,3,0.53,0.91,1,3.9,18,0
ALE-0661,30/9/2022,Tech Failure,Retail Banking,76.56,2,1.64,2.57,3.03,2.9,16,2
ALE-0144,1/4/2022,Cyber-Fraud,ATM Network,139.54,1,1.26,1.53,1.07,4,26,1
ALE-0830,13/8/2022,System Failure,E-Banking,153.78,3,0.83,1.49,1.45,3.3,28,2
ALE-0673,9/12/2022,Cyber-Fraud,E-Banking,194.06,1,2.72,1.72,1.52,2.7,18,0
ALE-0771,30/7/2022,Data Breach,E-Banking,174.12,5,0.98,2.13,2.01,2.9,25,0
OLE-0638,26/9/2023,Cyber-Fraud,Payments,82.48,4,1.32,0.55,1,2.7,21,1
ALE-0462,1/10/2022,Phishing,Payments,347.75,3,2.61,1.3,1.15,3.1,24,1
OLE-0799,16/6/2023,Cyber-Fraud,ATM Network,49.97,3,0.85,1.11,1,2.8,14,0
ALE-0918,25/1/2022,Data Breach,Retail Banking,205.38,4,2.47,1.41,1.22,2.6,19,1
OLE-0528,29/3/2022,Cyber-Fraud,Payments,80.17,5,0.94,1.36,1,3,23,2
ALE-0924,29/7/2022,Data Breach,Retail Banking,270.35,1,1.24,2.91,2.05,3.4,28,1
ALE-0165,21/4/2022,System Failure,E-Banking,194.25,2,1.22,2.21,1.83,3.7,24,1
ALE-0537,24/2/2022,Data Breach,Online Services,83.85,3,2.11,2.68,2.01,2.7,20,0
OLE-0481,22/3/2023,System Failure,E-Banking,65.08,4,1.11,0.9,1,2.7,20,2
ALE-0117,21/9/2022,Cyber-Fraud,E-Banking,290.91,1,2.74,3.25,3.47,3.4,22,0
ALE-0107,6/4/2022,Data Breach,Online Services,163.51,3,1.17,2.63,2.02,3.4,26,0
OLE-0465,20/3/2022,Cyber-Fraud,E-Banking,83.09,5,1.28,1.32,1,3.7,18,2
ALE-1274,2/8/2022,Tech Failure,Payments,97.68,2,2.53,2.8,2.67,3.8,23,1
ALE-0364,25/7/2022,Phishing,E-Banking,251.19,2,2.63,1.37,1.07,3.3,28,2
ALE-0797,24/1/2022,System Failure,Payments,252.08,2,1.06,1.78,1.98,3.1,26,2
ALE-1053,23/3/2022,Tech Failure,Payments,167.3,2,1.58,2.41,1.98,3.4,22,2
ALE-0095,1/4/2022,Tech Failure,ATM Network,82.66,3,1.19,2.53,1.77,3,23,2
ALE-0604,8/6/2022,Phishing,Retail Banking,182.52,5,0.82,2.25,2.52,3.5,15,1
ALE-0004,1/12/2022,System Failure,E-Banking,85.43,5,2.59,3.19,2.51,2.6,15,0
OLE-0583,3/8/2023,Data Breach,Retail Banking,56.76,5,1.02,0.58,1,3.5,23,1
OLE-0121,4/6/2022,Data Breach,Retail Banking,103.79,2,0.55,0.88,1,4,22,1
ALE-1091,25/7/2022,System Failure,E-Banking,95.16,4,1.86,2.32,1.63,2.9,15,0
OLE-0603,11/3/2023,Tech Failure,Payments,40.59,5,0.37,1.32,1,3,18,2
OLE-0487,6/2/2022,Cyber-Fraud,ATM Network,67.68,4,1.02,1.01,1,2.9,15,0
OLE-0057,8/6/2022,System Failure,ATM Network,32.22,4,0.93,0.93,1,2.7,17,2
OLE-0252,23/7/2023,Tech Failure,E-Banking,63.64,3,0.82,0.81,1,3.2,21,0
ALE-0598,16/9/2022,Data Breach,Payments,202.81,1,2.77,3.27,3.17,3.9,15,0
OLE-0614,13/9/2022,System Failure,Retail Banking,5,1,0.83,1.01,1,2.9,17,0
OLE-0606,28/4/2023,Cyber-Fraud,Retail Banking,28.37,2,1.28,0.51,1,3.2,22,0
OLE-0515,16/6/2023,System Failure,Retail Banking,5,2,0.36,1.46,1,3.5,17,2
ALE-0230,24/10/2022,System Failure,E-Banking,174.89,4,1.66,2.09,2.09,2.9,17,1
ALE-1140,28/12/2022,Tech Failure,Retail Banking,158.07,5,1.42,2.4,2.41,2.8,21,2
ALE-0780,28/12/2022,Data Breach,Payments,211.02,3,2.59,1.45,1.64,3.4,23,2
OLE-0333,8/8/2022,Tech Failure,E-Banking,63.25,3,1.18,0.79,1,3.7,16,2
ALE-0052,2/2/2022,Phishing,ATM Network,291.72,5,1.26,2.36,2,2.9,29,0
OLE-0299,29/10/2023,Data Breach,Retail Banking,40.22,1,1.26,1.4,1,2.8,21,1
ALE-0351,7/7/2022,Cyber-Fraud,Online Services,102.5,4,1.87,3.07,2.09,3.9,18,0
ALE-0029,22/7/2022,Cyber-Fraud,Retail Banking,157.09,3,1.7,2.31,2.72,2.9,28,1
ALE-0611,21/10/2022,Tech Failure,Retail Banking,184.53,3,1.76,3.14,2.58,3.6,24,0
ALE-0895,16/8/2022,System Failure,Online Services,240.61,4,0.92,1.61,1.36,3.2,21,0
ALE-0275,24/1/2022,Cyber-Fraud,Online Services,10,2,2.81,3,2.26,3.4,25,1
ALE-0974,13/1/2022,System Failure,Retail Banking,240.85,2,2.92,3.34,2.5,3.3,26,2
ALE-0442,1/12/2022,Phishing,Payments,148.67,1,2.3,2.68,3.31,3.8,28,1
ALE-0447,18/5/2022,System Failure,Retail Banking,94.26,3,2.78,3.12,2.63,3.4,26,2
OLE-0045,5/5/2023,System Failure,Payments,29.54,1,0.41,1.44,1,3.3,24,2
OLE-0533,18/9/2023,Data Breach,ATM Network,64.55,5,0.44,0.67,1,3.2,18,0
ALE-0914,3/8/2022,Data Breach,Retail Banking,80.99,4,1.42,2.46,2.87,3.9,18,0
ALE-0884,13/4/2022,Data Breach,ATM Network,207.28,2,1.08,2.21,1.68,3.5,24,0
ALE-0308,15/2/2022,Tech Failure,Online Services,179.33,2,1.93,2.89,2.66,3,23,0
ALE-0249,29/6/2022,Tech Failure,ATM Network,68.74,5,2.57,1.87,1.48,3.1,24,2
ALE-1168,10/1/2022,System Failure,Online Services,120.85,3,2.38,3.11,3.31,3.8,26,0
ALE-0368,5/10/2022,Data Breach,Payments,20.92,4,1.58,3.02,2.61,2.7,16,0
ALE-0538,25/5/2022,System Failure,E-Banking,41.8,3,2.2,1.56,1.19,3.6,24,1
ALE-0844,2/3/2022,System Failure,Retail Banking,34.91,1,1.51,1.8,1.36,3,16,2
OLE-0648,26/2/2022,Tech Failure,E-Banking,60.84,2,1.38,0.63,1,3.1,15,0
OLE-0383,2/2/2023,Data Breach,Retail Banking,62.89,3,0.72,0.86,1,3.7,14,1
OLE-0070,18/6/2023,System Failure,ATM Network,49.45,5,0.96,1.33,1,2.6,23,1
ALE-1221,27/8/2022,Data Breach,ATM Network,104.73,1,1.44,2.47,2.92,2.7,21,1
ALE-0548,17/12/2022,Data Breach,Retail Banking,95.55,2,2.68,1.41,1.02,3,26,0
ALE-0229,20/5/2022,System Failure,ATM Network,210.88,3,1.44,1.38,1.21,3,29,0
ALE-0509,19/12/2022,Data Breach,Retail Banking,138.96,5,2.76,1.79,1.23,3.4,26,0
OLE-0651,6/2/2023,Tech Failure,Payments,36.11,2,0.38,1.32,1,3.5,14,2
OLE-0384,21/3/2022,Data Breach,Payments,63,2,0.49,1.33,1,3,19,2
ALE-1122,17/8/2022,Phishing,ATM Network,152.12,4,2.49,2.24,1.8,3.3,17,1
ALE-1209,28/12/2022,System Failure,E-Banking,178.75,5,2.59,1.9,1.57,3.9,19,2
ALE-0172,12/3/2022,Data Breach,E-Banking,34.65,1,2.36,1.46,1.44,3.7,29,0
ALE-0819,26/3/2022,System Failure,Payments,152.57,1,2.57,2.74,3.08,3,20,2
ALE-0561,15/8/2022,Data Breach,Online Services,194.89,3,2.06,1.78,1.31,2.6,22,0
OLE-0706,7/12/2022,System Failure,ATM Network,18.35,1,0.7,0.75,1,4,16,1
OLE-0322,20/3/2022,System Failure,ATM Network,83.4,1,0.38,1.14,1,3.6,15,1
ALE-0846,23/1/2022,Phishing,ATM Network,242.5,1,2.03,3.46,2.98,3.9,29,2
ALE-0428,3/12/2022,Cyber-Fraud,Online Services,10,2,0.88,2.82,2.83,3.4,29,1
OLE-0711,26/9/2022,Tech Failure,ATM Network,51.92,4,0.88,1.4,1,3.9,21,1
ALE-1260,14/9/2022,Phishing,E-Banking,115.76,1,0.88,1.8,1.4,2.9,21,1
OLE-0421,1/12/2022,Cyber-Fraud,E-Banking,19.81,5,0.86,1.44,1,3,21,0
OLE-0434,16/12/2022,Data Breach,E-Banking,40.99,1,0.76,1.17,1,4,24,0
OLE-0100,1/2/2023,Data Breach,E-Banking,36.29,4,0.32,0.78,1,2.6,19,2
ALE-0324,5/3/2022,Cyber-Fraud,ATM Network,85.52,5,2.91,1.93,2.02,3.5,21,2
OLE-0430,2/6/2022,System Failure,ATM Network,28.63,5,1.3,0.63,1,2.7,14,0
ALE-0255,27/4/2022,Cyber-Fraud,E-Banking,163.48,4,1.23,1.78,1.93,3.9,24,2
ALE-0614,8/6/2022,Cyber-Fraud,ATM Network,167.22,1,2.03,1.78,1.98,2.8,20,1
OLE-0600,13/9/2022,Cyber-Fraud,Payments,66.13,3,0.9,1.41,1,3.6,22,2
ALE-0043,20/3/2022,System Failure,Online Services,278.33,4,0.82,2.46,1.66,3.2,26,0
OLE-0531,30/3/2022,Tech Failure,E-Banking,88.06,2,0.66,0.82,1,2.7,21,1
ALE-0989,17/5/2022,Phishing,Retail Banking,105.2,5,1.2,2,1.38,2.7,29,0
ALE-0906,29/8/2022,Phishing,E-Banking,236.97,5,3,2.09,1.95,3.3,19,0
ALE-0953,30/7/2022,Data Breach,E-Banking,10,1,2.1,1.78,1.81,3.2,27,1
OLE-0125,16/6/2023,Tech Failure,Payments,15.74,1,1.31,0.97,1,4,16,0
OLE-0186,8/1/2023,Cyber-Fraud,Payments,68.26,2,1.15,1.17,1,2.8,15,2
ALE-0564,17/8/2022,Data Breach,Payments,218.91,3,2.71,2.75,1.84,2.6,24,0
OLE-0520,11/5/2022,Tech Failure,E-Banking,45.74,2,1.11,0.64,1,2.9,20,1
ALE-0987,3/4/2022,System Failure,Payments,190.5,5,2.61,2.13,1.43,3.7,16,0
ALE-0332,14/11/2022,Phishing,Retail Banking,185.41,1,2.95,3.14,3.4,3.9,29,2
ALE-0382,17/1/2022,System Failure,Retail Banking,156.7,2,1.71,1.79,2.22,2.9,17,1
OLE-0509,2/3/2022,Tech Failure,Retail Banking,57.49,3,1.27,1.45,1,3,24,2
ALE-1213,17/11/2022,Data Breach,Payments,116.5,2,0.86,1.69,1.53,3.1,17,1
OLE-0066,24/12/2023,System Failure,Retail Banking,45,1,1.04,0.57,1,3.3,16,0
OLE-0362,13/5/2023,System Failure,Retail Banking,96.68,2,1.11,1.07,1,3.9,19,1
ALE-1277,14/11/2022,Cyber-Fraud,Online Services,239.49,2,1.3,2.16,1.59,3.3,19,0
ALE-1114,19/3/2022,Cyber-Fraud,Retail Banking,10,1,2.08,2.3,1.94,2.8,15,1
ALE-0851,8/8/2022,Phishing,E-Banking,91.89,4,2.74,1.88,1.37,3,16,0
ALE-0494,6/9/2022,Cyber-Fraud,Online Services,94,4,2.12,2.84,2.8,3.3,16,0
ALE-0047,15/9/2022,Cyber-Fraud,Online Services,217.49,3,1.86,2.43,2.65,3,23,0
ALE-1061,24/1/2022,Phishing,Online Services,168.35,2,2.65,2.76,2.14,3.3,27,2
ALE-1203,4/1/2022,Data Breach,ATM Network,147.69,5,1.74,2.27,1.53,3.5,28,2
OLE-0612,11/8/2023,System Failure,Retail Banking,72.04,1,1.45,0.64,1,3.4,19,0
ALE-1025,2/4/2022,Tech Failure,Payments,222.85,3,2.92,2.53,1.7,3.1,24,2
OLE-0417,17/12/2023,System Failure,Payments,37.71,5,1.22,0.93,1,3.2,15,0
OLE-0573,29/3/2022,Tech Failure,Retail Banking,5,5,0.87,0.84,1,3.9,23,1
ALE-1102,25/6/2022,Cyber-Fraud,ATM Network,27.12,3,2.23,1.27,1.26,3.3,20,1
OLE-0427,13/6/2022,Tech Failure,Retail Banking,17.97,4,1.49,1.23,1,3.7,17,0
ALE-0253,25/11/2022,Data Breach,Retail Banking,10,3,1,2.56,2.1,3.1,28,2
ALE-0946,15/10/2022,Phishing,E-Banking,92.28,5,2.5,3.36,3.74,3.1,24,1
OLE-0213,28/12/2022,Tech Failure,Payments,113.79,3,1.46,0.58,1,3,24,1
ALE-1196,21/11/2022,Phishing,Retail Banking,158.1,1,1.25,2.47,2.81,2.9,19,1
OLE-0409,27/5/2023,Tech Failure,E-Banking,22.04,5,1.34,1.26,1,3.6,17,2
ALE-0727,5/3/2022,Phishing,ATM Network,159.33,2,1.76,3.09,2.14,3.5,21,0
OLE-0282,11/11/2022,System Failure,Payments,45.24,3,1.28,1.19,1,2.7,18,0
ALE-0377,19/1/2022,Data Breach,E-Banking,232.03,4,1.35,1.72,1.48,3.3,24,0
ALE-0277,7/7/2022,Tech Failure,E-Banking,131.36,5,2.62,2.22,1.85,3.3,29,2
OLE-0819,15/8/2022,System Failure,ATM Network,58.17,4,1.19,0.65,1,2.7,14,1
ALE-0002,25/12/2022,Data Breach,E-Banking,155.42,5,1.69,2.69,2.09,3.5,20,1
